NAME                                                        READY   STATUS      RESTARTS        AGE     IP            NODE                                         NOMINATED NODE   READINESS GATES
mx-qwen3-moe-bf16-fsdp-source-nixl-kill-e59-98twk           0/1     Completed   0               3d12h   10.0.12.119   cluster-0967a26d-pool-14bee067-prctr-9c2x7   <none>           <none>
mx-qwen3-moe-bf16-fsdp-source-nixl-kill-qrc88               0/1     Completed   0               3d22h   10.0.12.12    cluster-0967a26d-pool-14bee067-prctr-9c2x7   <none>           <none>
mx-qwen3-moe-bf16-fsdp-source-nixl-rhfhn                    0/1     Completed   0               3d22h   10.0.12.11    cluster-0967a26d-pool-14bee067-prctr-9c2x7   <none>           <none>
mx-qwen3-moe-bf16-fsdp-source-timing-tvw52                  0/1     Completed   0               4d2h    10.0.12.184   cluster-0967a26d-pool-14bee067-prctr-9c2x7   <none>           <none>
mx-qwen3-moe-bf16-hot-refit-mp4gf                           0/1     Completed   0               4d5h    10.0.12.10    cluster-0967a26d-pool-14bee067-prctr-9c2x7   <none>           <none>
mx-qwen3-moe-bf16-poolreg-hot-refit-wv48x                   0/1     Completed   0               4d5h    10.0.12.215   cluster-0967a26d-pool-14bee067-prctr-9c2x7   <none>           <none>
mx-qwen3-moe-bf16-timing-hot-refit-5vzk9                    0/1     Completed   0               4d4h    10.0.12.33    cluster-0967a26d-pool-14bee067-prctr-9c2x7   <none>           <none>
mx-qwen3-moe-bf16-two-holder-recovery-x8pcf                 0/1     Completed   0               3d12h   10.0.12.229   cluster-0967a26d-pool-14bee067-prctr-9c2x7   <none>           <none>
mx-qwen3-moe-direct-hot-refit-s82m5                         0/1     Completed   0               4d2h    10.0.12.237   cluster-0967a26d-pool-14bee067-prctr-9c2x7   <none>           <none>
mx-ray-worker-primary-2gpu-adc1b2d                          0/1     Error       0               3d10h   10.0.12.98    cluster-0967a26d-pool-14bee067-prctr-9c2x7   <none>           <none>
mx-redis-broadcast-bb22a90-64466f7d64-r9568                 1/1     Running     0               3d9h    10.0.24.95    cluster-0967a26d-pool-1f83edbe-mj5s4-nwjkn   <none>           <none>
mx-redis-broadcast-real-1e2212f-7d57784d8c-wnbds            1/1     Running     0               3d9h    10.0.3.32     cluster-0967a26d-pool-1f83edbe-mj5s4-rd9cc   <none>           <none>
mx-redis-rl-894d7b694-tcchz                                 1/1     Running     0               4d9h    10.0.29.145   cluster-0967a26d-pool-1f83edbe-mj5s4-bf5w2   <none>           <none>
mx-redis-sglang-smoke-7fcd6ffccc-4snwr                      1/1     Running     0               3d9h    10.0.24.25    cluster-0967a26d-pool-1f83edbe-mj5s4-nwjkn   <none>           <none>
mx-rl-recovery-fallback-adc1b2d-k4sdq                       0/1     Completed   0               3d23h   10.0.12.239   cluster-0967a26d-pool-14bee067-prctr-9c2x7   <none>           <none>
mx-server-broadcast-bb22a90-9dd45bf78-97mwl                 1/1     Running     0               3d9h    10.0.3.206    cluster-0967a26d-pool-1f83edbe-mj5s4-rd9cc   <none>           <none>
mx-server-broadcast-real-1e2212f-775f66df4f-bnb2t           1/1     Running     0               3d9h    10.0.3.175    cluster-0967a26d-pool-1f83edbe-mj5s4-rd9cc   <none>           <none>
mx-server-rl-76b6854487-8zx79                               1/1     Running     0               4d9h    10.0.29.139   cluster-0967a26d-pool-1f83edbe-mj5s4-bf5w2   <none>           <none>
mx-server-sglang-smoke-fd689b68c-qgdh5                      1/1     Running     0               3d9h    10.0.24.230   cluster-0967a26d-pool-1f83edbe-mj5s4-nwjkn   <none>           <none>
mx-tier-a-python-moe-ff4b769-nzmmh                          0/1     Completed   0               4d7h    10.0.12.138   cluster-0967a26d-pool-14bee067-prctr-9c2x7   <none>           <none>
mx-tier-a-python-tf4554-d168542-wn44t                       0/1     Error       0               4d9h    10.0.12.191   cluster-0967a26d-pool-14bee067-prctr-9c2x7   <none>           <none>
mx-tier-a-triage-gpu-d168542-f9pxx                          0/1     Error       0               4d9h    10.0.12.202   cluster-0967a26d-pool-14bee067-prctr-9c2x7   <none>           <none>
mx-tier-c-live-rl-d168542-dkkgj                             0/1     Completed   0               4d9h    10.0.12.198   cluster-0967a26d-pool-14bee067-prctr-9c2x7   <none>           <none>
mx-verify-hot-live-vllm-d168542-vq5km                       0/1     Completed   0               4d9h    10.0.12.116   cluster-0967a26d-pool-14bee067-prctr-9c2x7   <none>           <none>
mx-verl-tiny-nccl-mx-comparison-a628e45-t4bmk               0/1     Completed   0               4d1h    10.0.12.100   cluster-0967a26d-pool-14bee067-prctr-9c2x7   <none>           <none>
mx-vllm-dist-src0-20260605                                  1/1     Running     0               105m    10.0.20.98    cluster-0967a26d-pool-14bee067-prctr-g2j7h   <none>           <none>
mx-vllm-dist-src1-20260605                                  1/1     Running     0               3m32s   10.0.9.78     cluster-0967a26d-pool-14bee067-prctr-th9sn   <none>           <none>
mx-vllm-dist-tgt-20260605                                   1/1     Running     0               105m    10.0.12.29    cluster-0967a26d-pool-14bee067-prctr-9c2x7   <none>           <none>
sgl-gr-builder                                              1/1     Running     0               11d     10.0.27.87    cluster-0967a26d-pool-1f83edbe-mj5s4-fzwmj   <none>           <none>
xpool-qwen-epp-b9f5bfd9c-wg69g                              1/1     Running     0               11d     10.0.19.73    cluster-0967a26d-pool-1f83edbe-mj5s4-trdbv   <none>           <none>
xpool-qwen-vllmdecodeworkertp1-7c1f0c31-bd9567dd8-vxdnj     2/2     Running     0               4d12h   10.0.10.102   cluster-0967a26d-pool-14bee067-prctr-xmhbj   <none>           <none>
xpool-qwen-vllmdecodeworkertp2-7c1f0c31-dccfbbcd9-5ghjc     2/2     Running     0               4d12h   10.0.10.114   cluster-0967a26d-pool-14bee067-prctr-xmhbj   <none>           <none>
